stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
2819,2919,24th & Martha NW,,41.238392,-95.94703,0,1
2844,2921,24th & Bancroft NW,,41.234338,-95.94704,0,1
2855,2922,24th & Oak NW,,41.232469,-95.94705,0,1
9513,3034,24th & Vinton NW,,41.229627,-95.94705,0,1
2647,2844,24th & Deer Park Blvd SW,,41.227908,-95.94711,0,1
2652,2845,24th & B St NW,,41.2247,-95.9471,0,1
2740,2846,24th & D St NW,,41.222252,-95.94703,0,1
2355,2847,24th & F St NW,,41.219825,-95.94703,0,1
2321,2848,24th & H St NW,,41.217511,-95.94704,0,1
2383,2849,24th & J NW,,41.214919,-95.94705,0,1
2393,3035,24th & L St NW,,41.21294,-95.94705,0,1
2397,2850,24th & M St NW,,41.2112180340118,-95.9470567685767,0,1
2871,2851,24th & N St NW,,41.209841,-95.94706,0,1
2222,2852,24th & O St NW,,41.208671,-95.94706,0,1
7861,2853,24th & P St NW,,41.2070697183517,-95.9470511490529,0,1
7864,2854,Q St & 24th NW,,41.20559,-95.947349,0,1
9617,3279,Metro College TC Bay 7,,41.206415,-95.956378,0,1
8495,1375,MCC Exit & Babe Gomez Ave SE,,41.209143908026,-95.9577265154091,0,1
8215,1372,Babe Gomez Ave & 30th SE,,41.20857,-95.95488,0,1
1511,1373,27th & Babe Gomez Ave SW,,41.2062093716814,-95.9530335752212,0,1
9216,2855,Q St & 28th NW,,41.2055634509753,-95.9549960395319,0,1
2510,2856,30th & Q St SW,,41.2051973682173,-95.9577567054636,0,1
2782,2857,30th & S St NW,,41.2035528012802,-95.957741064163,0,1
2354,2858,30th & U St SW,,41.201349,-95.95774,0,1
2763,2859,30th & W St NW,,41.1998851258641,-95.9577223361303,0,1
9657,2860,Y St & 30th SE,,41.1981927041939,-95.9573000735637,0,1
9376,2861,Y St & 28th (Kroc Center Ent),,41.1982,-95.954691,0,1
9375,2862,27th & Z St NW,,41.1975670820857,-95.9528253882292,0,1
2804,2863,27th & Madison NW,,41.19529,-95.9528,0,1
2799,2864,27th & Drexel NW,,41.1928477007787,-95.9528020161099,0,1
2795,2865,27th & Polk NW,,41.1918694248523,-95.952771339645,0,1
2793,2866,27th & Harrison NW,,41.1910053275108,-95.9528099563319,0,1
3627,2867,Harrison & 28th NE,,41.19092,-95.954974,0,1
2741,2868,Harrison & 30th NE,,41.191016,-95.957558,0,1
9600,3346,Aksarben Dr & Frances NE,,41.2403374524752,-96.0176543752475,0,1
8687,1235,Aksarben Dr & Pine SE,,41.2432615275966,-96.018864315727,0,1
8023,3018,72nd & Pine NE,,41.245321,-96.02396,0,1
2251,2782,72nd & Poppleton Ave NE,,41.247193,-96.02396,0,1
2248,2783,72nd & Pacific NE,,41.249429397923,-96.0239421211073,0,1
2040,2784,72nd & Rose Blumpkin Dr SE,,41.2515823138463,-96.0239176492308,0,1
3671,2785,72nd & Jones SE,,41.2541268270907,-96.0239078700824,0,1
2246,2786,72nd & Howard SE,,41.255848,-96.0239,0,1
9352,3019,72nd & Dodge SE,,41.2585034605054,-96.0238810908114,0,1
9255,3020,72nd & Dodge NE,,41.2600796670367,-96.0238540110988,0,1
9402,2787,72ND & Omaha Academy Of Ballet NE,,41.26188,-96.02391,0,1
2438,3021,72nd & Cass NE,,41.26379,-96.02392,0,1
8808,2788,72nd & Burt SE,,41.26693,-96.02388,0,1
2883,2789,72nd & Izard NE,,41.268401,-96.02389,0,1
665,2790,72nd & Western Ave SE,,41.270408,-96.02388,0,1
6191,2791,72nd & Hamilton SE,,41.2718795387082,-96.0238784113412,0,1
2849,2792,72nd & Seward SE,,41.274027,-96.02389,0,1
2842,2793,72nd & Decatur SE,,41.27538,-96.02389,0,1
6585,3022,72nd & Blondo SE,,41.277583002593,-96.023886088159,0,1
696,2794,72nd & Grant SE,,41.279407,-96.02389,0,1
4855,2795,72nd & Lake SE,,41.281272,-96.0239,0,1
723,2796,72nd & Ohio SE,,41.282471,-96.0239,0,1
3393,3023,72nd & Maple SE,,41.284791,-96.02389,0,1
5670,2797,72nd & Wirt SE,,41.286758,-96.0239,0,1
569,2798,72nd & Bedford Ave NE,,41.288873,-96.02391,0,1
560,2799,72nd & Pinkney SE,,41.2905255722379,-96.0239179660057,0,1
1579,2800,72nd & Pratt SE,,41.292208,-96.02387,0,1
599,2801,72nd & Spaulding SE,,41.2939708168806,-96.0238237596249,0,1
584,2802,72nd & Sprague SE,,41.2954282155965,-96.0237961146789,0,1
9514,3349,72nd & MilitaryAve SE,,41.296959,-96.02379,0,1
7007,1192,72nd & Military Ave NE,,41.2982373724226,-96.0237728142719,0,1
899,2463,72nd & Ames Ave SE,,41.2992420737219,-96.0237670225922,0,1
7031,1189,Ames & 71st SW,,41.2994218108108,-96.0223708648649,0,1
886,2803,Ames & 66th SW,,41.29949,-96.014481,0,1
758,2804,Ames & 65th SW,,41.2994811398577,-96.0118504124555,0,1
674,2806,Ames & 62nd SE,,41.29947,-96.007646,0,1
8809,3024,Ames & 60th SW,,41.2994632340865,-96.0049645996126,0,1
8810,2807,Ames & Taylor SW,,41.29947,-96.003383,0,1
8811,2808,Ames & 56th SW,,41.2995,-96.000585,0,1
724,2809,Ames & 54th SW,,41.2995279249285,-95.9975261827975,0,1
3950,2810,Ames & 52nd SW,,41.2995462533561,-95.9953097852087,0,1
8813,2811,Ames & 51st SW (Walmart),,41.29956,-95.992349,0,1
8815,2812,Ames & 49th SW,,41.29956,-95.987372,0,1
771,2813,Ames & 48th SW,,41.29957,-95.985918,0,1
557,2814,Ames & 46th SE,,41.2995287953368,-95.9821124222798,0,1
874,2815,Ames & Fontenelle Blvd SW,,41.29951,-95.980159,0,1
9658,3025,Ames & 42nd SW,,41.2995773915014,-95.9761495569405,0,1
559,3026,Ames & 41st SE,,41.2995772876189,-95.9742345142698,0,1
5616,1436,Ames & 40th SW,,41.29957,-95.972316,0,1
1381,1437,Ames & 38th SE,,41.29955,-95.969507,0,1
690,1438,Ames & 37th SE,,41.2995471046455,-95.9682025574613,0,1
731,1439,Ames & 36th SW,,41.299549660945,-95.9666544119576,0,1
1438,1440,Ames & 34th Ave SW,,41.29955,-95.964002,0,1
745,1441,Ames & 33rd SW,,41.2995581374159,-95.9617581956804,0,1
4528,1442,Ames & 31st Ave SW,,41.299574750377,-95.9595594555117,0,1
9611,3262,North Omaha TC Bay 14,,41.298055,-95.958442,0,1
1612,2817,Ames & 22nd SE,,41.29963,-95.94425,0,1
2308,2818,Florence Blvd & Ames Ave SW,,41.299019,-95.94216,0,1
3908,2819,Florence Blvd & Sahler NW,,41.297128,-95.94216,0,1
1556,3028,Florence Blvd & Sprague NW,,41.296129,-95.94216,0,1
9536,2820,Florence Blvd & Laird NW,,41.29469,-95.94218,0,1
897,2821,Florence Blvd & Manderson NW,,41.293357,-95.94218,0,1
