route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
5300,22cfb915-10dc-499d-a2ed-75087f529359,160b1ec5-5c69-443b-96d8-2cda10a15496,9ea39dbc-4766-4b33-8852-daa88397963e,,0,e0295e16-c7cf-4c71-b513-42f575f8d51a
5299,28888329-2b26-4dea-b53e-2c7349386310,4ebd95a4-aff9-40a3-aab1-007e2860210e,9c808821-40b5-43ed-b2e1-7c3c6b675c11,to NOTC & Downtown via 72nd & Ames,1,249ea575-1f9c-441c-8fed-2d5190bdb92d
5301,28888329-2b26-4dea-b53e-2c7349386310,fd4765c2-7835-4c92-ab0c-86cd9a452bb0,a8ce40dd-0c44-4ca0-b4de-891e9f38bb22,North Omaha Transit Center,0,6798e9bc-8a42-44d2-be12-515bfa8b58d1
5306,2cf01af7-25c6-41ea-83c8-a3291a8ef0fa,e08aeb57-36d2-45db-9640-edcd9554c9b1,aa0cbf0d-8536-4d47-a691-743f60ac7889,,1,15539083-cebb-413e-b325-54bd5d714619
5298,22cfb915-10dc-499d-a2ed-75087f529359,be6b954c-d0b7-4d86-b7bb-5b422bbff650,fa5b508c-d2ae-4a9f-927d-7ea632140643,Downtown,1,daecd65d-2454-4edb-9dcf-c716dbccc61e
5303,2cf01af7-25c6-41ea-83c8-a3291a8ef0fa,848a091e-26c3-4fdd-8373-3375f5a666bb,c23dc52e-e588-4baa-89b6-29dbd156c4be,North Omaha Transit Center,0,fea7c800-2718-478d-8ca5-1b99afaa3b3b
5309,28888329-2b26-4dea-b53e-2c7349386310,0e224d75-96a6-4383-9ed7-ad4a0241fc63,c39bf83c-97ac-4a05-bc6d-0660bb15aefc,Council Bluffs,0,eaf25b57-ee34-4a87-ad87-9a9f6bd2bfb8
5299,22cfb915-10dc-499d-a2ed-75087f529359,1a650961-3518-4e3d-87a8-f5f7d725a989,d495ff52-60e3-4821-92f9-578e85b6572b,to Aksarben Transit Center via Ames & 72nd,0,bcc6c288-83e5-45b4-bb69-04a3409672f7
5304,28888329-2b26-4dea-b53e-2c7349386310,adf6e162-d474-4f12-bf82-eb4d0920b6d1,f88c4da9-4097-42de-b96a-4f52c10380e6,,0,a2295c16-425b-48aa-90ff-3f0b9941a074
5303,28888329-2b26-4dea-b53e-2c7349386310,41b6f7a1-d5b4-405f-a370-571b7bdc7f6b,fb0d8657-62d7-4e91-8fd8-c9d844ee1b65,MCC South Transit Center,1,d3753ca5-72c7-4d47-aec7-6fe391224082
5292,2cf01af7-25c6-41ea-83c8-a3291a8ef0fa,8a6b5f8f-e5df-44a3-b284-2f193e3ab34e,1c8d49c4-9679-4ac6-a05d-3d0c187f7fdf,To Westroads Transit Center,0,3053464f-b673-40d2-890e-b46a2e90c663
5294,22cfb915-10dc-499d-a2ed-75087f529359,8548d016-6e71-45a5-bb55-d550f0eb57c1,28abbfda-7211-4c74-90c8-2815c7e31d61,Aksarben Transit Center,0,e4643d39-edb8-4b54-9f6f-bfcdec5e7107
5307,22cfb915-10dc-499d-a2ed-75087f529359,d5bd8a7f-7dcb-482e-b423-a6892843431d,ac368c5c-0add-4fd7-b066-09ad0b10bcb8,Westroads Transit Center,0,94f9cbe9-1130-4135-aa5f-b148d84149a3
5296,2cf01af7-25c6-41ea-83c8-a3291a8ef0fa,ab4aef77-1676-4f5c-be94-f5e74765de23,e5b3b1bf-2f42-46b3-bdf7-22d8447241e6,Downtown,1,5ea07f4b-0406-400c-a9e6-daee209ba533
5311,28888329-2b26-4dea-b53e-2c7349386310,d67e0f05-2776-4fb1-9421-874b75dcc066,3d78ae7e-f55f-4fb9-9889-33d738a54e5e,Millard,0,ed5fe21e-c38a-4550-9bec-f514fe2808f4
5292,2cf01af7-25c6-41ea-83c8-a3291a8ef0fa,17980019-f6f9-4dbc-aa65-90cabb17f5c6,1c8d49c4-9679-4ac6-a05d-3d0c187f7fdf,To Westroads Transit Center,0,3053464f-b673-40d2-890e-b46a2e90c663
5307,28888329-2b26-4dea-b53e-2c7349386310,91ea79b9-1113-4a7e-8363-e58f8299a5f9,304283d1-2b30-4eda-aa84-ef007c307d1b,Downtown,1,ce57b198-2600-4ec5-900d-bdae9d35ee8d
5299,2cf01af7-25c6-41ea-83c8-a3291a8ef0fa,ce6df5fd-3b32-4511-8bbe-4a54cd57de0a,d495ff52-60e3-4821-92f9-578e85b6572b,to Aksarben Transit Center via Ames & 72nd,0,8fea2932-c7c1-4ba2-84a8-a93a342c563f
5301,2cf01af7-25c6-41ea-83c8-a3291a8ef0fa,2537bc1b-9b9a-409c-88fc-70cc0eaf2097,2071a49f-6669-4abe-957e-925fb79338f6,30th & Harrison,1,7652b4d8-4d13-41ee-8f38-65dc43bf262a
5303,28888329-2b26-4dea-b53e-2c7349386310,bb0f84d4-58a8-4bcd-9304-e68fc0ce5486,c23dc52e-e588-4baa-89b6-29dbd156c4be,North Omaha Transit Center,0,4e86ce51-a483-4722-a7d9-225048aa6fb9
